LineId,Date,Time,Host,Component,PID,Content,EventId,EventTemplate,ParameterList
136,2021-03-08,12:25:01,hydra0,CRON,40951,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
137,2021-03-08,12:35:01,hydra0,CRON,532,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
138,2021-03-08,12:35:01,hydra0,CRON,532,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
139,2021-03-08,12:39:01,hydra0,CRON,640,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
140,2021-03-08,12:39:01,hydra0,CRON,640,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
141,2021-03-08,12:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
142,2021-03-08,12:39:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
143,2021-03-08,12:45:01,hydra0,CRON,827,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
144,2021-03-08,12:45:01,hydra0,CRON,827,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
145,2021-03-08,12:55:01,hydra0,CRON,1111,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
146,2021-03-08,12:55:01,hydra0,CRON,1111,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
147,2021-03-08,13:05:01,hydra0,CRON,1352,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
148,2021-03-08,13:05:01,hydra0,CRON,1352,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
149,2021-03-08,13:09:01,hydra0,CRON,1460,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
150,2021-03-08,13:09:01,hydra0,CRON,1460,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
151,2021-03-08,13:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
152,2021-03-08,13:09:02,hydra0,php7.0,,DIGEST-MD5 common mech free,5290983b,DIGEST-MD5 common mech free,[]
153,2021-03-08,13:15:01,hydra0,CRON,1645,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
154,2021-03-08,13:15:01,hydra0,CRON,1645,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
155,2021-03-08,13:17:01,hydra0,CRON,1695,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
156,2021-03-08,13:17:01,hydra0,CRON,1695,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
157,2021-03-08,13:25:01,hydra0,CRON,1928,pam_unix(cron:session): session opened for user root by (uid=0),8fbc6c52,<*> session opened for user <*> by <*>,"['pam_unix(cron:session):', 'root', '(uid=0)']"
158,2021-03-08,13:25:01,hydra0,CRON,1928,pam_unix(cron:session): session closed for user root,c1256636,<*> session closed for user <*>,"['pam_unix(cron:session):', 'root']"
